,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Imp_Embarked_mf,Imp_Age_Mean,Imp_Age_Median,Imp_Age_Rand,Imp_Det_Lin,Imp_Sto_Lin
0,1,0,3,1,22.0,1,0,7.25,1.0,1.0,22.0,22.0,22.0,22.0,22.0
1,2,1,1,0,38.0,1,0,71.2833,2.0,2.0,38.0,38.0,38.0,38.0,38.0
2,3,1,3,0,26.0,0,0,7.925,1.0,1.0,26.0,26.0,26.0,26.0,26.0
3,4,1,1,0,35.0,1,0,53.1,1.0,1.0,35.0,35.0,35.0,35.0,35.0
4,5,0,3,1,35.0,0,0,8.05,1.0,1.0,35.0,35.0,35.0,35.0,35.0
5,6,0,3,1,,0,0,8.4583,3.0,3.0,29.69911764705882,28.0,44.0,27.197124443268347,27.0
6,7,0,1,1,54.0,0,0,51.8625,1.0,1.0,54.0,54.0,54.0,54.0,54.0
7,8,0,3,1,2.0,3,1,21.075,1.0,1.0,2.0,2.0,2.0,2.0,2.0
8,9,1,3,0,27.0,0,2,11.1333,1.0,1.0,27.0,27.0,27.0,27.0,27.0
9,10,1,2,0,14.0,1,0,30.0708,2.0,2.0,14.0,14.0,14.0,14.0,14.0
10,11,1,3,0,4.0,1,1,16.7,1.0,1.0,4.0,4.0,4.0,4.0,4.0
11,12,1,1,0,58.0,0,0,26.55,1.0,1.0,58.0,58.0,58.0,58.0,58.0
12,13,0,3,1,20.0,0,0,8.05,1.0,1.0,20.0,20.0,20.0,20.0,20.0
13,14,0,3,1,39.0,1,5,31.275,1.0,1.0,39.0,39.0,39.0,39.0,39.0
14,15,0,3,0,14.0,0,0,7.8542,1.0,1.0,14.0,14.0,14.0,14.0,14.0
15,16,1,2,0,55.0,0,0,16.0,1.0,1.0,55.0,55.0,55.0,55.0,55.0
16,17,0,3,1,2.0,4,1,29.125,3.0,3.0,2.0,2.0,2.0,2.0,2.0
17,18,1,2,1,,0,0,13.0,1.0,1.0,29.69911764705882,28.0,56.0,35.57743710459597,35.0
18,19,0,3,0,31.0,1,0,18.0,1.0,1.0,31.0,31.0,31.0,31.0,31.0
19,20,1,3,0,,0,0,7.225,2.0,2.0,29.69911764705882,28.0,3.0,23.77872412340028,25.0
20,21,0,2,1,35.0,0,0,26.0,1.0,1.0,35.0,35.0,35.0,35.0,35.0
21,22,1,2,1,34.0,0,0,13.0,1.0,1.0,34.0,34.0,34.0,34.0,34.0
22,23,1,3,0,15.0,0,0,8.0292,3.0,3.0,15.0,15.0,15.0,15.0,15.0
